species_name_,FAO group code,id,common_name_crop,species_name,species_name_taxonstand_,genus,sps,family,order,gf,wild_progenitor,sources_wild_progenitor,minimum_time_cultivation,minimum_time_domestication,sources_minimum_time_cultivation_domestication,filter_data_antiquity,use_food,use_animal_feed,use,use_primary,sources_use,number_gbif_records,filter_ocurr_gbif,sd_longitude,sd_latitude,mode_ecoreg_code,biogeografic_realm,mode_ecoreg_name,mode_ecoreg_centroid_lon,mode_ecoreg_centroid_lat,median_BIO1,median_BIO2,median_BIO3,median_BIO4,median_BIO5,median_BIO6,median_BIO7,median_BIO8,median_BIO9,median_BIO10,median_BIO11,median_BIO12,median_BIO13,median_BIO14,median_BIO15,median_BIO16,median_BIO17,median_BIO18,median_BIO19,cv_BIO1,cv_BIO2,cv_BIO3,cv_BIO4,cv_BIO5,cv_BIO6,cv_BIO7,cv_BIO8,cv_BIO9,cv_BIO10,cv_BIO11,cv_BIO12,cv_BIO13,cv_BIO14,cv_BIO15,cv_BIO16,cv_BIO17,cv_BIO18,cv_BIO19,FAO commodity group,Family,Authority,Notes
Aframomum_melegueta,702,14,Melegueta_pepper,Aframomum melegueta,Aframomum_melegueta_K.Schum.,Aframomum,melegueta,Zingiberaceae,Zingiberales,herb,Aframomum_melegueta_K.Schum.,112,750,NA,90,1,1,0,seed,seed,90,75,1,7.762233337,4.063405097,AT0707,Afrotropic,Guinean Forest-Savanna Mosaic,-1.44104815,8.87510659,248,93,73,912,315,190,120,246,245,257,235,1668,314,16,62,679,85,357,351,8.375568737,19.01317407,6.030235155,25.9864866,8.036039157,14.71452836,21.39072783,9.801909863,9.71185772,8.967270578,7.867731365,32.86685744,30.74346067,88.54240162,16.79776249,33.64555777,66.2836898,45.08501081,78.00259883,"Nutmeg, mace and cardamoms",Zingiberaceae,Schum.,"FAO also lists in this group Aframomum hambury, but information on this species cannot be found"
Annona_reticulata,603,60,Custard_apple,Annona reticulata,Annona_reticulata_L.,Annona,reticulata,Annonaceae,Magnoliales,woody,Annona_reticulata_L.,128,NA,NA,NA,0,1,0,fruit_flower,fruit_flower,128,371,1,7.549081021,3.670038295,NT0209,Neotropic,Central American Dry Forests,-87.48903857,13.27433402,248,112,69,1491,329,165,159,254,243,265,227,1492,292,4,89,766,21,334,155,7.828029235,16.12600099,9.253978709,46.59387057,5.751875566,18.85084048,17.62636815,7.477509665,10.58892308,7.16316989,10.68064529,33.39895536,32.4441451,134.1919607,26.01238383,32.58541734,121.6357277,48.5799037,88.249802,"Fruit, tropical fresh nes",Annonaceae,L.,"FAO lists this species under ""Annona spp."", but then lists ""custard apple"" as the corresponding product (which corresponds to this species as per USDA)"
Areca_catechu,226,78,Betel_nut,Areca catechu,Areca_catechu_L.,Areca,catechu,Arecaceae,Arecales,woody,Areca_catechu_L.,90,8776,2000,4,1,1,0,multifood_rep&veg,fruit_flower,128,84,1,15.64042428,11.56083928,IM0149,Indo_malay,South China-Vietnam Subtropical Evergreen Forests,109.6319,22.22267,248,76,50.5,2653,317.5,174,144,268,227,273,218,2038,297,34,64.5,794,126,561,170,8.285386055,19.17151002,30.88869827,71.05952148,5.932361252,25.01368177,31.37849926,5.861870481,16.33611021,6.628619487,17.04944495,36.89587395,37.94805123,109.9034363,41.94798353,36.26194403,104.4078552,59.11666764,104.2109459,Areca nuts,Arecaceae,L.,NA
Bambusa_odashimae,463,106,Odashimae_bamboo,Bambusa odashimae,Bambusa_odashimae_Hatus._ex_D.Z.Li_&_Stapleton,Bambusa,odashimae,Poaceae,Poales,graminoid,Bambusa_odashimae_Hatus._ex_D.Z.Li_&_Stapleton,90,NA,NA,NA,0,1,0,shoot,shoot,90,9,1,0.351671618,0.652384574,IM0172,Indo_malay,Taiwan Subtropical Evergreen Forests,120.9828881,23.85359265,207,71,36,4564,302,113,192,262,164,263,152,2383,303,23,74,839,83,839,139,8.023324755,9.422005443,18.08555895,19.18568264,9.134505653,9.644641671,9.248686116,10.32572392,14.68769018,10.34067312,5.9535237,29.7964048,36.4774957,124.2991865,34.55273833,35.36633639,108.9828912,36.39290861,72.56237683,"Vegetables, fresh nes",Poaceae,Hatus. ex D.Z.Li & Stapleton,FAO only lists this as Bambusa spp.; but these are the most common harvested species
Canarium_album,234,149,nam_liap,Canarium album,Canarium_album_(Lour.)_DC.,Canarium,album,Burseraceae,Sapindales,woody,Canarium_album_(Lour.)_DC.,90,NA,NA,NA,0,1,0,fruit_flower,fruit_flower,90,127,1,5.140341905,3.966815797,IM0149,Indo_malay,South China-Vietnam Subtropical Evergreen Forests,109.6318815,22.22267464,228,78,45,3525,319,103,214,271,182,282,178,1368,266,15,77,726,56,598,59,14.4722243,19.93042734,19.26344057,35.20249902,6.621748357,44.66290555,21.83951773,8.92146764,26.04138706,8.057376705,29.53172902,22.02987288,34.37772067,58.05091158,16.08397621,30.96891053,53.42366831,39.74999755,66.84185383,"Nuts, nes",Burseraceae,(Lour.) Rausch. ,FAO lists this (and other Canarium species) as Canarium spp. But this species corresponds to the FAO commodity (Chinese olives)
Canarium_indicum,234,150,Canarium_nut,Canarium indicum,Canarium_indicum_L.,Canarium,indicum,Burseraceae,Sapindales,woody,Canarium_indicum_L.,90,NA,NA,NA,0,1,0,multifood_rep&veg,seed,131,191,1,10.46417982,5.3327441,AA0126,Australasia,Vanuatu Rain Forests,167.614252,-15.90075944,246,65,72,777.5,293,203,91,252,236,255,236,2686,332,124.5,29.5,911,426,867,430,5.874272683,17.34222693,12.95661048,47.98180194,4.298489857,8.789343228,12.32018387,4.637018175,8.088365566,4.782551331,7.484230059,25.08718744,21.98777657,41.15573506,35.91254823,23.34417221,39.276574,27.321496109999998,51.20063404,"Nuts, nes",Burseraceae,L.,FAO lists this (and other Canarium species) as simply Canarium spp. But this species corresponds to the FAO commodity Java almond)
Canarium_ovatum,234,151,Pili_nut,Canarium ovatum,Canarium_ovatum_Engl.,Canarium,ovatum,Burseraceae,Sapindales,woody,Canarium_ovatum_Engl.,4,14000,6000,4,1,1,0,multifood_rep&veg,fruit_flower,128,5,1,1.681515859,3.100699677,IM0128,Indo_malay,Mindanao Montane Rain Forests,125.0959493,7.5642717,232,86.5,78.5,585.5,289,179,109.5,230,228.5,239.5,223.5,2815.5,363.5,99,37.5,1038,324,637,681,23.15753762,16.77588207,7.834536382,40.65198617,17.09314458,32.76106703,9.255697089,23.50269782,21.23807135,23.71827695,23.07583864,9.55756729,32.78862412,67.19869966,54.837298,25.38803102,58.70901665,9.074197535,45.31202121,"Nuts, nes",Burseraceae,Engl.,FAO lists this (and other Canarium species) as simply Canarium spp. But this species corresponds to the FAO commodity (pili nut)
Canavalia_gladiata,211,154,Sword_bean,Canavalia gladiata,Canavalia_gladiata_(Jacq.)_DC.,Canavalia,gladiata,Fabaceae,Fabales,herb,"Canavalia_africana_Dunn,Canavalia_gladiata_(Jacq.)_DC.",90114,NA,NA,NA,0,1,0,fruit_flower,fruit_flower,128,65,1,15.40059049,6.79443702,AT0722,Afrotropic,West Sudanian Savanna,-0.93016892,11.85690563,265,108,70,1352,350,181,149,250,264,284,247,1112,196,5,71,513,25,220,384,9.657978777,14.88023481,9.413383636,31.65546231,8.948973139,17.24286615,14.83428421,8.594918087,11.43251625,10.56083517,9.117656379,16.31869646,24.5759491,164.6380866,24.70957984,23.08153661,130.5278525,43.6521878,65.41364989,"Pulses, nes",Fabaceae,(Jacq.) DC. ,"FAO lists this as Canavalia spp. with the common names ""jack or sword bean""; this species refers to ""sword bean"" as per USDA"
Carthamus_tinctorius,280,167,Safflower_seed,Carthamus tinctorius,Carthamus_tinctorius_L.,Carthamus,tinctorius,Asteraceae,Asterales,herb,"Carthamus_oxyacantha_M.Bieb.,Carthamus_persicus_Desf._ex_Willd.",13452,4500,3960,4,1,1,1,food&forage,seed,128,34,1,2.485141962,6.793808692,PA1303,Palearctic,Arabian Desert And East Sahero-Arabian Xeric Shrublands,46.03078771,24.88530017,194,123.5,44,5438.5,334,65,270.5,123,259,259,122.5,172,38,0,89.5,106.5,0,0,90,14.13306942,8.063749295,23.40532059,32.99827724,12.11159531,57.73784417,19.36785968,31.49961505,15.178901,13.46384504,30.63363477,89.62294507,87.20792808,326.2892068,13.28059409,76.8024723,301.6844481,318.6816178,67.64630041,Safflower seed,Asteraceae,L.,NA
Castanea_sativa,220,179,Chestnut,Castanea sativa,Castanea_sativa_Mill.,Castanea,sativa,Fagaceae,Fagales,woody,Castanea_sativa_Mill.,43940,5200,2600,4,1,1,0,seed,seed,4,1,1,0,0,PA0408,Palearctic,Caucasus Mixed Forests,44.25392612,41.93486248,109,85,32,6324,248,-13,261,47,56,190,30,1252,137,88,15,387,272,296,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chestnut,Fagaceae,Mill. ,"FAO also lists Castanea vesca Gaertn. and C. vulgaris as species, but these are synonym for C. sativa so are not included here"
