taxon	Feature ID	Taxon
(Cyprinus carpio 'mirror' x Cyprinus carpio 'singuonensis') x Carassius auratus red var.	NC_031807.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;NA;NA;(Cyprinus carpio 'mirror' x Cyprinus carpio 'singuonensis') x Carassius auratus red var.;NA
Abalistes stellatus	AY700248.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Abalistes;Abalistes stellatus;NA
Abramis brama	NC_020356.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Abramis;Abramis brama;NA
Abramis brama orientalis	KC894466.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Abramis;Abramis brama;Abramis brama orientalis
Abudefduf saxatilis	AF285920.1	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf saxatilis;NA
Abudefduf septemfasciatus	FJ616294.1	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf septemfasciatus;NA
Abudefduf septemfasciatus	LC589608.1	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf septemfasciatus;NA
Abudefduf sordidus	AF436879.1	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf sordidus;NA
Abudefduf sordidus	FJ616296.1	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf sordidus;NA
Acanthistius ocellatus	AY949421.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Acanthistius;Acanthistius ocellatus;NA
Acanthocybium solandri	AP012945.1	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Acanthocybium;Acanthocybium solandri;NA
Acanthocybium solandri	PP032949.1	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Acanthocybium;Acanthocybium solandri;NA
Acantholabrus palloni	KY815234.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Acantholabrus;Acantholabrus palloni;NA
Acanthopagrus schlegelii	NC_018553.1	Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;Acanthopagrus;Acanthopagrus schlegelii;NA
Acanthopagrus schlegelii x Pagrus major	NC_040957.1	Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;NA;Acanthopagrus schlegelii x Pagrus major;NA
Acanthostracion polygonius	AY700273.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Ostraciidae;Acanthostracion;Acanthostracion polygonius;NA
Acanthostracion polygonius	KT600930.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Ostraciidae;Acanthostracion;Acanthostracion polygonius;NA
Acanthostracion quadricornis	AY700275.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Ostraciidae;Acanthostracion;Acanthostracion quadricornis;NA
Acanthurus achilles	OP035106.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus achilles;NA
Acanthurus chirurgus	OP056937.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus chirurgus;NA
Acanthurus coeruleus	OP035153.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus coeruleus;NA
Acanthurus dussumieri	OP035072.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus dussumieri;NA
Acanthurus nigrofuscus	OP035282.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus nigrofuscus;NA
Acanthurus olivaceus	OP035305.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus olivaceus;NA
Acanthurus triostegus	NC_065340.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus triostegus;NA
Acanthurus xanthopterus	AF055607.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus xanthopterus;NA
Achoerodus viridis	AY279574.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Achoerodus;Achoerodus viridis;NA
Acipenser baerii	NC_017603.1	Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser baerii;NA
