taxon	Feature ID	Taxon
Abelmoschus esculentus	NC_035234.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Abelmoschus;Abelmoschus esculentus;NA;NA;NA
Abelmoschus manihot	NC_053353.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Abelmoschus;Abelmoschus manihot;NA;NA;NA
Abutilon theophrasti	HQ696727.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Abutilon;Abutilon theophrasti;NA;NA;NA
Abutilon theophrasti	NC_053702.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Abutilon;Abutilon theophrasti;NA;NA;NA
Acacia aneura	EU440012.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia aneura;NA;NA;NA
Acacia aneura	JF420505.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia aneura;NA;NA;NA
Acacia aneura	KC957945.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia aneura;NA;NA;NA
Acacia aneura var. aneura	KF048216.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia aneura;NA;Acacia aneura var. aneura;NA
Acacia cultriformis	JF420494.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia cultriformis;NA;NA;NA
Acacia cultriformis	KC958166.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia cultriformis;NA;NA;NA
Acacia cultriformis	KC958259.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia cultriformis;NA;NA;NA
Acacia cyclops	JF420460.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia cyclops;NA;NA;NA
Acacia kempeana	KC957866.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia kempeana;NA;NA;NA
Acacia longifolia	AF195698.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia longifolia;NA;NA;NA
Acacia longifolia subsp. longifolia	KC958105.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia longifolia;Acacia longifolia subsp. longifolia;NA;NA
Acacia longifolia subsp. sophorae	JQ248835.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia longifolia;Acacia longifolia subsp. sophorae;NA;NA
Acacia murrayana	JF420531.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia murrayana;NA;NA;NA
Acacia murrayana	KC957857.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia murrayana;NA;NA;NA
Acacia victoriae	JQ248862.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia victoriae;NA;NA;NA
Acacia victoriae subsp. arida	KC958213.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia victoriae;Acacia victoriae subsp. arida;NA;NA
Acanthocereus tetragonus	DQ099921.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Cactaceae;Acanthocereus;Acanthocereus tetragonus;NA;NA;NA
Acanthocereus tetragonus	HM041223.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Cactaceae;Acanthocereus;Acanthocereus tetragonus;NA;NA;NA
Acca sellowiana	MF954134.1	Eukaryota;Streptophyta;Magnoliopsida;Myrtales;Myrtaceae;Acca;Acca sellowiana;NA;NA;NA
Acca sellowiana	OQ269523.1	Eukaryota;Streptophyta;Magnoliopsida;Myrtales;Myrtaceae;Acca;Acca sellowiana;NA;NA;NA
Acer rubrum	AF401182.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer rubrum;NA;NA;NA
Acer saccharum	AF401173.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer saccharum;NA;NA;NA
Acer saccharum	EU721272.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer saccharum;NA;NA;NA
Acer saccharum	NC_051960.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer saccharum;NA;NA;NA
Acer saccharum subsp. leucoderme	DQ989582.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer saccharum;Acer saccharum subsp. leucoderme;NA;NA
Acer saccharum subsp. nigrum	DQ978560.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer saccharum;Acer saccharum subsp. nigrum;NA;NA
Achillea millefolium	AY603266.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;NA;NA;NA
Achillea millefolium	HQ323815.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;NA;NA;NA
Achillea millefolium	KP208325.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;NA;NA;NA
Achillea millefolium	NC_062413.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;NA;NA;NA
Achillea millefolium subsp. ceretanica	AY603281.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. ceretanica;NA;NA
Achillea millefolium subsp. millefolium	AY603286.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. alpicola;NA
Achillea millefolium subsp. millefolium	EU128989.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. millefolium;NA
Achillea millefolium subsp. millefolium	EU129001.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. arenicola;NA
Achillea millefolium subsp. millefolium	EU129015.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. borealis;NA
Achillea millefolium subsp. millefolium	EU129021.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. californica;NA
Achillea millefolium subsp. millefolium	EU129025.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. gigantea;NA
Achillea millefolium subsp. millefolium	EU129027.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. lanulosa;NA
Achillea millefolium subsp. millefolium	EU129041.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. litoralis;NA
Achillea millefolium subsp. millefolium	EU129061.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. pacifica;NA
Achillea millefolium subsp. millefolium	EU129075.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. puberula;NA
Achillea millefolium subsp. sudetica	AY603267.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. sudetica;NA;NA
Acrocomia aculeata	NC_037084.1	Eukaryota;Streptophyta;Magnoliopsida;Arecales;Arecaceae;Acrocomia;Acrocomia aculeata;NA;NA;NA
Actinidia arguta	JN102166.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia arguta;NA;NA;NA
Actinidia arguta	NC_034913.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia arguta;NA;NA;NA
Actinidia arguta var. arguta	LC568625.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia arguta;NA;Actinidia arguta var. arguta;NA
Actinidia chinensis	NC_026690.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia chinensis;NA;NA;NA
Actinidia deliciosa	NC_026691.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia deliciosa;NA;NA;NA
Actinidia kolomikta	NC_034915.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia kolomikta;NA;NA;NA
Actinidia polygama	NC_031186.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia polygama;NA;NA;NA
Adansonia digitata	AY328150.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Adansonia;Adansonia digitata;NA;NA;NA
